name,handle,core,priority,state,stack_base,stack_end,allocated_bytes,free_min_bytes,used_max_bytes,region,runtime
vision_det,0x4ff7b0e0,1,4,1,0x4ff2ba64,0x4ff2e8e0,11901,9308,2593,internal,590897
main,0x4ff29864,0,1,0,0x4ff26dd8,0x4ff29650,10361,4584,5777,internal,5125198
IDLE1,0x4ff2a7f4,1,0,1,0x4ff2a1b0,0x4ff2a7a0,1521,1184,337,internal,7044838
IDLE0,0x4ff2a02c,0,0,1,0x4ff299e8,0x4ff29fe0,1529,1192,337,internal,1994781
lvgl,0x4ff38688,1,5,2,0x4ff4043c,0x4ff443b0,16245,9444,6801,internal,267701
eth_control,0x30100a2c,0,4,2,0x49645e10,0x49647e00,8177,5604,2573,psram,18295
eth_img_send,0x30101270,0,2,2,0x4964a018,0x4964b810,6137,4092,2045,psram,1694
sysmon,0x4ff79c7c,0,3,2,0x4ff78bfc,0x4ff79b70,3957,1832,2125,internal,113997
tiT,0x4ff32544,-1,18,2,0x4ff316c0,0x4ff324b0,3569,2768,801,internal,2632
cam_isp,0x4ff3f11c,0,2,2,0x4851c1e0,0x4851d150,3953,3184,769,psram,2472
sort_real_io,0x4ff7f754,0,4,2,0x4ff7e6d4,0x4ff7f640,3949,1984,1965,internal,15689
ipc0,0x4ff25024,0,1,3,0x4ff24be0,0x4ff24fd0,1009,472,537,internal,175343
sys_evt,0x30100210,0,20,2,0x4ff32a24,0x4ff33520,2813,848,1965,internal,30516
eth_img_prod,0x30101668,0,3,2,0x49647f14,0x49649f10,8189,7676,513,psram,14
emac_rx,0x4ff7fe50,-1,15,3,0x4ff30390,0x4ff31380,4081,3552,529,internal,755
swdraw,0x4ff3f9ec,0,4,3,0x4ff33dd8,0x4ff35d50,8057,6712,1345,internal,325755
isp_task,0x4ff3ed54,0,11,2,0x4ff3dcd4,0x4ff3ec40,3949,1484,2465,internal,96636
vision_fetch,0x4ff7c138,0,4,2,0x4ff7c448,0x4ff7d440,4089,3304,785,internal,4270
vision_disp,0x4ff7af5c,0,4,2,0x4ff7d5d0,0x4ff7e540,3953,1488,2465,internal,28256
esp_timer,0x4ff26a00,0,22,3,0x4ff25980,0x4ff268f0,3953,3448,505,internal,135783
dl_mc0,0x4ff1f930,0,4,3,0x4ff1fcf8,0x4ff203f0,1785,928,857,internal,1089539
dl_mc1,0x4ff1fa98,1,4,3,0x4ff204f8,0x4ff20bf0,1785,928,857,internal,1060685
Tmr Svc,0x4ff2b1fc,-1,1,2,0x4ff2a978,0x4ff2b170,2041,1624,417,internal,11
ipc1,0x4ff255ec,1,24,3,0x4ff251a8,0x4ff255a0,1017,616,401,internal,175429
