"boot_id","sample_id","stage","wb_us","logo_us","crop_us","wall_us","cpu_us","wait_us","host_connected","image_send","real_io","reset_mode","coverage_note"
1,1,"waybill_only",62865,"","",62866,23059,39807,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,2,"waybill_only",70151,"","",70152,26334,43818,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,3,"waybill_only",58936,"","",58938,20966,37972,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,4,"waybill_only",65354,"","",65356,23883,41473,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,5,"waybill_only",70568,"","",70569,26630,43939,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,6,"waybill_only",71501,"","",71503,27373,44130,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,7,"waybill_only",65055,"","",65056,23764,41292,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,8,"waybill_only",67514,"","",67516,24530,42986,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,9,"waybill_only",68540,"","",68541,25202,43339,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,10,"waybill_only",67446,"","",67448,23474,43974,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,11,"waybill_only",67745,"","",67746,24734,43012,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,12,"waybill_only",67153,"","",67154,24020,43134,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,13,"waybill_only",67453,"","",67456,24017,43439,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,14,"waybill_only",66543,"","",66545,23441,43104,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,15,"waybill_only",70915,"","",70916,26271,44645,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,16,"waybill_only",64301,"","",64303,24859,39444,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,17,"waybill_only",66980,"","",66981,24674,42307,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,18,"waybill_only",68301,"","",68302,23716,44586,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,19,"waybill_only",66532,"","",66533,24736,41797,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,20,"waybill_only",67250,"","",67252,24502,42750,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,21,"waybill_only",66059,"","",66061,24244,41817,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,22,"waybill_only",66386,"","",66387,25106,41281,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,23,"waybill_only",72077,"","",72079,26689,45390,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,24,"waybill_only",66371,"","",66373,24784,41589,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,25,"waybill_only",68663,"","",68665,24701,43964,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,26,"waybill_only",64148,"","",64150,22810,41340,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,27,"waybill_only",69452,"","",69454,26259,43195,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,28,"waybill_only",70715,"","",70716,25943,44773,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,29,"waybill_only",61735,"","",61737,22794,38943,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,30,"waybill_only",70633,"","",70635,25114,45521,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,31,"waybill_only",65033,"","",65034,23495,41539,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,32,"waybill_only",68340,"","",68341,24322,44019,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,33,"waybill_only",67929,"","",67931,24219,43712,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,34,"waybill_only",66020,"","",66022,22625,43397,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,35,"waybill_only",65755,"","",65757,24553,41204,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,36,"waybill_only",63334,"","",63339,23377,39962,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,37,"waybill_only",67343,"","",67344,23774,43570,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,38,"waybill_only",67155,"","",67156,24424,42732,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,39,"waybill_only",65142,"","",65143,23784,41359,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,40,"waybill_only",65588,"","",65590,23153,42437,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,41,"waybill_only",66281,"","",66285,24620,41665,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,42,"waybill_only",67722,"","",67723,23358,44365,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,43,"waybill_only",81755,"","",81757,23702,58055,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,44,"waybill_only",72164,"","",72166,26585,45581,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,45,"waybill_only",70379,"","",70380,26237,44143,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,46,"waybill_only",67831,"","",67832,24609,43223,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,47,"waybill_only",64586,"","",64588,24018,40570,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,48,"waybill_only",66917,"","",66919,25532,41387,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,49,"waybill_only",58355,"","",58356,21531,36825,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,50,"waybill_only",67114,"","",67116,24436,42680,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,51,"waybill_only",66736,"","",66738,24194,42544,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,52,"waybill_only",58760,"","",58762,21359,37403,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
1,53,"waybill_only",67106,"","",67107,24021,43086,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
